HJD	Mag	Err
2459435.33689	-0.00892	0.00156
2459435.33849	-0.01234	0.00157
2459435.34010	-0.01123	0.00155
2459435.34172	-0.01129	0.00155
2459435.34332	-0.01041	0.00155
2459435.34491	-0.01023	0.00155
2459435.34651	-0.01232	0.00154
2459435.34811	-0.01181	0.00155
2459435.34971	-0.00959	0.00154
2459435.35130	-0.00714	0.00154
2459435.35290	-0.00621	0.00154
2459435.35450	-0.00885	0.00154
2459435.35609	-0.00664	0.00154
2459435.35769	-0.01106	0.00154
2459435.35929	-0.00996	0.00154
2459435.36089	-0.01062	0.00154
2459435.36248	-0.00939	0.00153
2459435.36408	-0.01007	0.00153
2459435.36568	-0.00750	0.00153
2459435.36727	-0.01016	0.00153
2459435.36887	-0.00578	0.00153
2459435.37047	-0.00951	0.00153
2459435.37207	-0.00527	0.00154
2459435.37366	-0.00473	0.00154
2459435.37526	0.00178	0.00154
2459435.37686	0.00341	0.00154
2459435.37846	0.00675	0.00154
2459435.38005	0.00748	0.00154
2459435.38165	0.01015	0.00154
2459435.38325	0.01406	0.00155
2459435.38484	0.01396	0.00155
2459435.38644	0.01544	0.00155
2459435.38804	0.01652	0.00155
2459435.38964	0.01834	0.00155
2459435.39123	0.01586	0.00155
2459435.39283	0.01824	0.00155
2459435.39443	0.01622	0.00155
2459435.39602	0.01744	0.00155
2459435.39762	0.01615	0.00155
2459435.39922	0.01783	0.00155
2459435.40082	0.02044	0.00155
2459435.40241	0.01854	0.00155
2459435.40401	0.01870	0.00155
2459435.40561	0.01852	0.00155
2459435.40721	0.01830	0.00155
2459435.40880	0.01835	0.00155
2459435.41040	0.01753	0.00155
2459435.41200	0.01990	0.00155
2459435.41359	0.01712	0.00155
2459435.41519	0.01791	0.00155
2459435.41679	0.01584	0.00155
2459435.41839	0.01729	0.00155
2459435.41998	0.01605	0.00155
2459435.42158	0.01409	0.00155
2459435.42318	0.01464	0.00155
2459435.42477	0.01367	0.00154
2459435.42637	0.01348	0.00155
2459435.42797	0.01015	0.00154
2459435.42957	0.00794	0.00154
2459435.43116	0.00729	0.00154
2459435.43276	0.00171	0.00154
2459435.43436	0.00346	0.00154
2459435.43596	-0.00120	0.00153
2459435.43755	-0.00559	0.00153
2459435.43915	-0.00837	0.00153
2459435.44075	-0.00840	0.00153
2459435.44234	-0.00785	0.00153
2459435.44394	-0.00724	0.00153
2459435.44554	-0.00662	0.00153
2459435.44714	-0.01054	0.00153
2459435.44873	-0.00985	0.00153
2459435.45033	-0.01027	0.00153
2459435.45193	-0.00905	0.00153
2459435.45352	-0.00994	0.00153
2459435.45512	-0.00999	0.00153
2459435.45672	-0.00986	0.00153
2459435.45832	-0.00958	0.00153
2459435.45991	-0.01108	0.00153
2459435.46151	-0.00821	0.00153
2459435.46311	-0.01023	0.00153
2459435.46471	-0.01090	0.00153
2459435.46630	-0.01248	0.00153
2459435.46790	-0.01072	0.00153
2459435.46950	-0.01035	0.00153
2459435.47109	-0.01081	0.00154
2459435.47269	-0.01043	0.00153
2459435.47429	-0.01250	0.00152
2459435.47589	-0.01201	0.00152
2459435.47748	-0.01193	0.00153
2459435.47908	-0.01086	0.00153
2459435.48068	-0.01079	0.00153
2459435.48227	-0.01115	0.00153
2459435.48387	-0.00765	0.00153
2459435.48547	-0.00949	0.00153
